title,price,year,mileage,city
Honda Civic Reborn 2011 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 28.75lacs,Lahore,N/A,N/A
Toyota Corolla  2020 GLi Automatic 1.3 VVTi for Sale,PKR 52.5lacs,Islamabad,N/A,N/A
Toyota Prius  2020 A Premium Touring Selection for Sale,PKR 88lacs,Islamabad,N/A,N/A
Honda Civic Rebirth 2014 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 32.5lacs,Karachi,N/A,N/A
Honda City 5th (GM2) Generation 2015 Aspire 1.5 i-VTEC for Sale,PKR 34lacs,Islamabad,N/A,N/A
Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,PKR 48lacs,Lahore,N/A,N/A
Toyota Yaris Hatchback  2022 G 1.0 for Sale,PKR 46.75lacs,Lahore,N/A,N/A
Toyota Raize  2020 Z for Sale,PKR 64.9lacs,Lahore,N/A,N/A
Toyota Raize  2020 Z for Sale,PKR 53.9lacs,Lahore,N/A,N/A
Changan Oshan X7  2022 FutureSense for Sale,PKR 68.5lacs,Lahore,N/A,N/A
Toyota Corolla  2022 Altis X Automatic 1.6 for Sale,PKR 53.5lacs,Rahim Yar Khan,N/A,N/A
Toyota Roomy  2021 X for Sale,PKR 37lacs,Gujrat,N/A,N/A
FAW X-PV  2018 Dual AC for Sale,PKR 1.1crore,Karachi,N/A,N/A
Hyundai Tucson  2023 FWD A/T GLS for Sale,PKR 71.5lacs,Lahore,N/A,N/A
Suzuki Cultus  2016  for Sale,PKR 19lacs,Lahore,N/A,N/A
Honda Civic Rebirth 2014 VTi Oriel 1.8 i-VTEC for Sale,PKR 33lacs,Islamabad,N/A,N/A
Toyota Corolla  2010 XLi VVTi for Sale,PKR 23.9lacs,Karachi,N/A,N/A
Daihatsu Hijet  2012  for Sale,PKR 19.5lacs,Karachi,N/A,N/A
Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Black Interior for Sale,PKR 65.5lacs,Islamabad,N/A,N/A
Suzuki Alto  2002  for Sale,PKR 13.5lacs,Karachi,N/A,N/A
Changan M9  2023 Sherpa Power 1.2L for Sale,PKR 22.5lacs,Karachi,N/A,N/A
Mercedes Benz C Class  2005  for Sale,PKR 38lacs,Wah Cantt,N/A,N/A
Honda Civic  2001 VTi Oriel 1.6 for Sale,PKR 14.7lacs,Multan,N/A,N/A
Toyota Corolla  1986 SE Saloon for Sale,PKR 10lacs,Charsadda,N/A,N/A
Suzuki Cultus  2014 EURO II for Sale,PKR 16.8lacs,Lahore,N/A,N/A
Toyota Raize  2020 Z for Sale,PKR 60lacs,Karachi,N/A,N/A
Changan Alsvin  2022 1.5L DCT Comfort for Sale,PKR 34.75lacs,Karachi,N/A,N/A
Changan Oshan X7  2025 FutureSense 7 Seat for Sale,PKR 87lacs,Islamabad,N/A,N/A
Hyundai H-100  2025 High Deck for Sale,PKR 48.7lacs,Rawalpindi,N/A,N/A
Daihatsu Cuore  2010 CL for Sale,PKR 8.4lacs,Karachi,N/A,N/A
KIA Sportage  2004 2.0 LX 4x4 for Sale,PKR 14lacs,Karachi,N/A,N/A
Honda City 5th (GM2) Generation 2011 1.3 i-VTEC for Sale,PKR 28.95lacs,Lahore,N/A,N/A
Honda Civic  2019 Oriel 1.8 i-VTEC CVT for Sale,PKR 52.85lacs,Rahim Yar Khan,N/A,N/A
Hyundai Tucson  2023 AWD A/T Ultimate for Sale,PKR 74lacs,Multan,N/A,N/A
Suzuki Alto  2024 VXL AGS for Sale,PKR 30.9lacs,Lahore,N/A,N/A
Prince Pearl  2022 MT for Sale,PKR 10.95lacs,Karachi,N/A,N/A
Haval H6  2024 HEV for Sale,PKR 1.03crore,Islamabad,N/A,N/A
Toyota Corolla  2019 Altis Automatic 1.6 for Sale,PKR 48.5lacs,Lahore,N/A,N/A
Suzuki Alto  2025 VXR Upgraded for Sale,PKR 30lacs,Rawalpindi,N/A,N/A
Toyota Raize  2020 Z for Sale,PKR 63.9lacs,Islamabad,N/A,N/A
Tank 500  2026 HEV for Sale,PKR 2.42crore,Karachi,N/A,N/A
Suzuki Alto  2025 VXR Upgraded for Sale,PKR 29.9lacs,Islamabad,N/A,N/A
Honda City 5th (GM2) Generation 2014 Aspire Prosmatec 1.5 i-VTEC for Sale,PKR 34.8lacs,Islamabad,N/A,N/A
Suzuki Swift  2011 DX 1.3 for Sale,PKR 22lacs,Gujranwala,N/A,N/A
Honda Civic 7th Generation (Facelift) 2005 VTi Oriel Prosmatec 1.6 for Sale,PKR 18.5lacs,Multan,N/A,N/A
Daihatsu Charade  1987  for Sale,PKR 2.5lacs,Karachi,N/A,N/A
Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,PKR 48lacs,Lahore,N/A,N/A
Nissan Dayz  2021 Highway Star S hybrid X pro pilot for Sale,PKR 43lacs,Faisalabad,N/A,N/A
Toyota Corolla  2007  for Sale,PKR 29.5lacs,Quetta,N/A,N/A
Honda N Wgn  2015 G for Sale,PKR 27.5lacs,Lahore,N/A,N/A
Toyota Yaris Hatchback  2022 G 1.0 for Sale,PKR 46.75lacs,Lahore,N/A,N/A
Suzuki Alto  2024 VXL AGS for Sale,PKR 31.95lacs,Islamabad,N/A,N/A
Toyota Prius  2018 A Touring Selection for Sale,PKR 69lacs,Lahore,N/A,N/A
Peugeot 2008  2022 Allure for Sale,PKR 64lacs,Bahawalpur,N/A,N/A
Suzuki Liana  2007 Eminent Automatic for Sale,PKR 14lacs,Islamabad,N/A,N/A
Toyota Land Cruiser  1987  for Sale,PKR 41lacs,Peshawar,N/A,N/A
Suzuki Khyber  1993 GA for Sale,PKR 3.75lacs,Wah Cantt,N/A,N/A
Toyota Hiace  2006  for Sale,PKR 37lacs,Khushab,N/A,N/A
Daihatsu Cuore  2007 CX Automatic for Sale,PKR 10.8lacs,Lahore,N/A,N/A
Toyota Raize  2020 Z for Sale,PKR 64.9lacs,Lahore,N/A,N/A
Toyota Passo  2023 Moda G for Sale,PKR 45.5lacs,Islamabad,N/A,N/A
Toyota Raize  2020 Z for Sale,PKR 53.9lacs,Lahore,N/A,N/A
Honda City  2005 i-DSI for Sale,PKR 19.5lacs,Khanewal,N/A,N/A
Changan Oshan X7  2022 FutureSense for Sale,PKR 68.5lacs,Lahore,N/A,N/A
Toyota Corolla  2009 XLi VVTi Limited Edition for Sale,PKR 21lacs,Karachi,N/A,N/A
Toyota Corolla  2021 Altis X Automatic 1.6 for Sale,PKR 55.95lacs,Nowshera,N/A,N/A
Toyota Yaris Sedan  2022 ATIV CVT 1.3 for Sale,PKR 47lacs,Faisalabad,N/A,N/A
Suzuki Wagon R  2020 VXL for Sale,PKR 28lacs,Lahore,N/A,N/A
Toyota Corolla  2022 Altis X Automatic 1.6 for Sale,PKR 53.5lacs,Rahim Yar Khan,N/A,N/A
Toyota Prado  2014 TX 2.7 for Sale,PKR 1.9crore,Lahore,N/A,N/A
Honda City 5th (GM2) Generation 2018 1.3 i-VTEC Prosmatec for Sale,PKR 35lacs,Lahore,N/A,N/A
Peugeot 2008  2024 Allure for Sale,PKR 53.7lacs,Karachi,N/A,N/A
Toyota Corolla Cross  2024 1.8 HEV X for Sale,PKR 84lacs,Karachi,N/A,N/A
Suzuki Mehran  2008  for Sale,PKR 8.4lacs,Rawalpindi,N/A,N/A
Toyota Passo  2013 X for Sale,PKR 21.9lacs,Karachi,N/A,N/A
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,PKR 66lacs,Peshawar,N/A,N/A
Suzuki Alto  2024 L Upgrade for Sale,PKR 37.9lacs,Islamabad,N/A,N/A
Toyota Aqua  2013 S LED Soft Leather Selection for Sale,PKR 31.8lacs,Karachi,N/A,N/A
Honda City  2006 i-DSI for Sale,PKR 18.75lacs,Lahore,N/A,N/A
Toyota Hilux  2018 Revo V Automatic 2.8 for Sale,PKR 1.08crore,Islamabad,N/A,N/A
Honda City  2004 i-DSI Vario for Sale,PKR 18.75lacs,Lahore,N/A,N/A
Toyota Roomy  2021 X for Sale,PKR 37lacs,Gujrat,N/A,N/A
Honda Civic  2019 Oriel 1.8 i-VTEC CVT for Sale,PKR 52.85lacs,Rahim Yar Khan,N/A,N/A
Honda City 5th (GM2) Generation 2015 1.3 i-VTEC for Sale,PKR 30.5lacs,Karachi,N/A,N/A
Daihatsu Move  2022 Custom RS SA for Sale,PKR 32lacs,Lahore,N/A,N/A
Toyota Vitz  2020 Hybrid U 1.5 for Sale,PKR 56lacs,Rawalpindi,N/A,N/A
Jaecoo J5  2026 Premium for Sale,PKR 83.8lacs,Lahore,N/A,N/A
KIA Sportage  2019 AWD for Sale,PKR 58.8lacs,Lahore,N/A,N/A
Honda Civic Rebirth 2014 VTi 1.8 i-VTEC for Sale,PKR 32.5lacs,Lahore,N/A,N/A
Toyota Prius  2012 S Touring Selection 1.8 for Sale,PKR 42.5lacs,Lahore,N/A,N/A
Toyota Corolla  2017 GLi 1.3 VVTi for Sale,PKR 37.8lacs,Lahore,N/A,N/A
Hyundai Santro  2009 Club for Sale,PKR 13lacs,Faisalabad,N/A,N/A
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 55.45lacs,Rawalpindi,N/A,N/A
Toyota Corolla  2013 Altis SR Cruisetronic 1.6 for Sale,PKR 42lacs,Faisalabad,N/A,N/A
Toyota Corolla  2019 Altis Automatic 1.6 for Sale,PKR 50.5lacs,Burewala,N/A,N/A
Hyundai Tucson  2023 AWD A/T Ultimate for Sale,PKR 74lacs,Multan,N/A,N/A
Toyota Corolla  2014 GLi Automatic Limited Edition 1.6 VVTi for Sale,PKR 42lacs,Wah Cantt,N/A,N/A
Suzuki Alto  2024 VXL AGS for Sale,PKR 30.9lacs,Lahore,N/A,N/A
Suzuki Swift  2019 DLX Automatic 1.3 Navigation for Sale,PKR 28lacs,Karachi,N/A,N/A
Suzuki Cultus  2016 Limited Edition for Sale,PKR 17.2lacs,Islamabad,N/A,N/A
Suzuki Cultus  2018 VXR for Sale,PKR 20lacs,Sargodha,N/A,N/A
Toyota Fortuner  2021 2.8 Sigma 4 for Sale,PKR 1.53crore,Lahore,N/A,N/A
Suzuki Alto  2005 VXR for Sale,PKR 10.9lacs,Lahore,N/A,N/A
Toyota Vitz  2014  for Sale,PKR 33lacs,Faisalabad,N/A,N/A
Honda Civic Reborn 2010 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 27.5lacs,Karachi,N/A,N/A
Honda City 5th (GM2) Generation 2009 1.3 i-VTEC Prosmatec for Sale,PKR 25.5lacs,Rawalpindi,N/A,N/A
